Model,Epochs,Input_Size,Exports,output,flag,username,timestamp
YOLOv8n,2,640,"['PyTorch', 'TF Lite']",OK,,,2024-01-30 17:52:37.490074
YOLOv8n,2,640,[],,,,2024-01-30 18:04:24.459508
